"symbolid","pricedatetime","open","high","low","close"
900745,2019-02-12,1.12759,1.1342,1.1257,1.13366
900745,2019-02-13,1.13365,1.134,1.1248,1.128
900745,2019-02-14,1.12799,1.131,1.1249,1.12869
900745,2019-02-15,1.12869,1.13062,1.12339,1.12894
900745,2019-02-17,1.1291,1.13248,1.1288,1.13112
900745,2019-02-18,1.13119,1.1334,1.1291,1.12964
900745,2019-02-19,1.12966,1.13575,1.1274,1.13435
900745,2019-02-20,1.13434,1.1371,1.1324,1.13497
900745,2019-02-21,1.135,1.13663,1.13158,1.13359
900745,2019-02-22,1.13359,1.1357,1.1315,1.13353
900745,2019-02-24,1.1334,1.135,1.1327,1.13396
900745,2019-02-25,1.13396,1.1371,1.1335,1.13583
900745,2019-02-26,1.13584,1.14026,1.1344,1.1375
900745,2019-02-27,1.13763,1.14033,1.1361,1.1376
900745,2019-02-28,1.13765,1.142,1.1358,1.13732
900745,2019-03-01,1.1372,1.14086,1.1352,1.13626
900745,2019-03-03,1.1381,1.1383,1.136,1.13637
900745,2019-03-04,1.13641,1.13691,1.1308,1.13305
900745,2019-03-05,1.13307,1.13383,1.1288,1.12986
900745,2019-03-06,1.12987,1.13246,1.12848,1.1303
900745,2019-03-07,1.13037,1.13201,1.11759,1.11986
900745,2019-03-08,1.11989,1.12461,1.1195,1.123
900745,2019-03-10,1.12308,1.1238,1.1221,1.12327
900745,2019-03-11,1.12326,1.12736,1.1221,1.12605
900745,2019-03-12,1.12605,1.1306,1.1248,1.12838
900745,2019-03-13,1.12838,1.1341,1.1276,1.13205
900745,2019-03-14,1.13206,1.1336,1.1293,1.1319
900745,2019-03-15,1.13194,1.13443,1.1299,1.13237
900745,2019-03-17,1.13202,1.1338,1.1317,1.1333
900745,2019-03-18,1.13349,1.1359,1.1323,1.13478
900745,2019-03-19,1.13478,1.13616,1.1338,1.13464
900745,2019-03-20,1.13465,1.14478,1.1334,1.14237
900745,2019-03-21,1.14236,1.14295,1.1341,1.1373
900745,2019-03-22,1.1375,1.13906,1.1272,1.1301
